Timestamp,volData,currentData,batTempData,socData,sohData,motTempData,speedData
1082,3.77832,0.317634532,31.8,60,86,32,125
1084,3.84077,0.313941117,31.8,60,86,32,118
1086,3.77832,0.320941798,31.8,60,86,32,124
1088,3.79394,0.289837706,31.8,60,86,32,112
1090,3.80955,0.299041944,31.8,60,86,32,120
1092,3.79394,0.300300064,31.8,60,86,32,122
1094,3.80955,0.293935037,31.8,60,86,32,117
1096,3.80955,0.28328241,31.8,60,86,32,117
1098,3.73148,0.320081986,31.8,60,86,32,111
1100,3.66903,0.287354623,31.8,60,86,32,111
1102,3.80955,0.299793358,31.8,60,86,32,125
1104,3.65342,0.288364109,31.8,60,86,32,110
1106,3.68465,0.327602289,31.8,60,86,32,120
1108,3.70026,0.292672107,31.8,60,86,32,125
1110,3.73148,0.319178107,31.8,60,86,32,115
1112,3.77832,0.328095696,31.8,60,86,32,115
1114,3.66903,0.327686805,31.8,60,86,32,123
1116,3.7471,0.301288232,31.8,60,86,32,118
1118,3.63781,0.325548057,31.8,59,86,32,116
1120,3.79394,0.321648263,31.8,59,86,32,114
1122,3.59097,0.313929848,31.8,56,85,32,121
1124,3.77832,0.306256632,31.8,56,85,32,112
1126,3.60658,0.298424644,31.8,56,85,32,121
1128,3.7471,0.289207568,31.8,56,85,32,111
1130,3.79394,0.326172452,31.8,56,85,32,122
1132,3.70026,0.300834175,31.8,56,85,32,115
1134,3.70026,0.325291751,31.8,56,85,32,125
1136,3.7471,0.287797972,31.8,56,85,32,125
1138,3.77832,0.306185774,31.8,56,85,32,110
1140,3.76271,0.299222664,31.8,56,85,32,121
1142,3.73148,0.326821657,31.8,56,85,32,110
1144,3.76271,0.325317114,31.7,56,85,32,114
1146,3.71587,0.31923296,31.7,56,85,32,114
1148,3.77832,0.29718919,31.7,56,85,32,118
1150,3.7471,0.293965742,31.7,56,85,32,117
1152,3.76271,0.321856171,31.7,56,85,32,115
1154,3.79394,0.294440514,31.7,56,85,32,121
1156,3.79394,0.295013927,31.7,56,85,32,115
1158,3.79394,0.28505364,31.7,56,85,32,113
1160,3.79394,0.317770141,31.7,56,85,32,123
1162,3.79394,0.308487847,31.7,56,85,32,110
1164,3.76271,0.326580949,31.7,56,85,32,110
1166,3.80955,0.31613397,31.7,56,85,32,120
1168,3.79394,0.303493172,36,56,85,33,121
1170,3.68465,0.281771035,36.2,56,85,35,110
1172,3.77832,0.301113556,39,56,85,35,119
1174,3.68465,0.326328344,39,56,85,36,115
1176,3.77832,0.309999536,39.2,56,85,36,120
1178,3.77832,0.310516686,38.4,56,85,36,113
1180,3.68465,0.311561079,37.3,56,85,36,124
1182,3.80955,0.313667066,36.5,56,85,36,114
1184,3.70026,0.305413578,35.8,56,85,36,120
1186,3.68465,0.301671302,35.2,56,85,36,111
1188,3.95006,0.292906633,34.6,56,85,36,116
1190,3.95006,0.30274863,33.1,56,85,35,117
1192,3.96568,0.297574769,32.6,56,85,35,119
1194,3.88761,0.290333168,32.2,56,85,35,122
1196,3.85639,0.32723874,32.1,56,85,35,113
1198,3.88761,0.326712507,32,56,85,35,120
1200,3.88761,0.317838584,32,56,85,34,113
1202,3.85639,0.303258362,31.9,56,85,34,110
1204,3.84077,0.292844619,31.9,56,85,34,114
1206,3.82516,0.307351564,31.9,56,85,34,110
1208,3.79394,0.322034493,31.9,56,85,34,125
1210,3.84077,0.313408944,31.9,56,85,34,112
1212,3.84077,0.329137129,31.9,56,85,34,115
1214,3.77832,0.305237949,31.9,56,85,34,112
1216,3.79394,0.315177966,31.9,56,85,34,122
1218,3.7471,0.30040081,31.9,56,85,34,115
1220,3.79394,0.323181246,31.9,56,85,34,117
1222,3.82516,0.297123544,31.9,56,85,34,112
1224,3.82516,0.316078683,31.9,56,85,34,121
1226,3.79394,0.31803106,32,56,85,34,125
1228,3.80955,0.312539221,32,56,85,34,111
1230,3.82516,0.318409928,32,56,85,34,119
1232,3.84077,0.318386721,32,56,85,33,117
1234,3.79394,0.305697485,32,56,85,33,116
1236,3.82516,0.326854662,32,56,85,33,114
1238,3.79394,0.315424774,31.9,56,85,33,112
1240,3.79394,0.284865417,31.9,56,85,33,121
1242,3.76271,0.290931419,31.9,56,85,33,120
1244,3.79394,0.306683551,31.9,56,85,33,124
1246,3.7471,0.326706428,31.9,56,85,33,111
1248,3.80955,0.292342841,31.9,56,85,33,112
1250,3.71587,0.307738161,31.9,56,85,33,124
1252,3.80955,0.325883003,31.9,56,85,33,123
1254,3.82516,0.322193428,31.9,56,85,33,112
1256,3.80955,0.282384717,31.9,56,85,33,113
1258,3.82516,0.324323416,31.9,56,85,33,119
1260,3.80955,0.326991667,31.9,56,85,33,110
1262,3.7471,0.289983231,31.9,56,85,33,112
1264,3.82516,0.323967609,31.9,56,85,33,123
1266,3.80955,0.31003195,31.9,56,85,33,114
1268,3.80955,0.284716464,31.9,56,85,33,113
1270,3.82516,0.326163297,31.9,56,85,33,112
1272,3.79394,0.283477263,31.9,56,85,33,119
